name,rating,comments,author/translator,pub
奥菲利娅的影子剧院:幻想文学大师米切尔·恩德经典作品绘本,9.2,828,（德）米切尔·恩德、（德）弗里德利希·海西尔曼 图   何珊,二十一世纪出版社   2005-5   14
世界童话名著连环画:全8册,9.8,1706,"陈伯吹审定、任溶溶,沙音作者作品介绍撰写",浙江少年儿童出版社   1988-12-01   35元
大盗贼:大幻想文学,9.1,1237,奥得弗雷德·普鲁士勒   陈俊,二十一世纪出版社   2004-10-01   22.00元
郑渊洁童话全集(33卷),9.2,1427,郑渊洁,学苑出版社   1993.12.   13
星尘,8.2,2385,[英] 尼尔·盖曼   龚容、李琳,人民文学出版社   2008-8   19.00元
遥远的野玫瑰村:安房直子幻想小说代表作系列,9.3,1567,安房直子   彭懿,少年儿童出版社   2004-03   17
海的女儿:安徒生童话全集之一,9.1,9102,安徒生   叶君健,上海译文出版社   1978年6月   0.43
借东西的小人:借东西的小人系列,8.4,705,(英)玛丽·诺顿   肖毛,译林出版社   2009年10月   16.00元
查理和巧克力工厂,8.5,1909,罗尔德·达尔   任溶溶,明天出版社   2004-4   13.00元
我想吃一个小孩,8.0,6785,[法] 西尔维娜·多尼奥 著、[法] 多萝蒂·德·蒙弗里 绘   文小山,北京科学技术出版社   2009-2   24.80
猫的事务所:宫泽贤治童话精选集,8.1,579,[日] 宫泽贤治、清月 (绘)   黄叶娟、成洁,上海文艺出版社   2011-5   38.00元
绿色童话:彩色童话集,9.1,271,安德鲁·朗格   张训达,少年儿童出版社   1991年11月1日   20.00元
365夜故事（上下）,9.2,8041,鲁兵 主编、朱延龄 插图,少年儿童出版社   1987-2   2.00元
阿米I-星星的孩子,8.8,926,恩里克·巴里奥斯（Enrique Barrios）   赵德明,天津教育出版社   2008年   20.00
最美最美的中国童话:台湾汉声❤世纪经典版本,9.0,116,汉声杂志社,江苏凤凰美术出版社   2012-12-1   699.00元
雾中的刺猬:ME003,9.0,82,[俄]谢尔盖·科兹洛夫、[俄]尤里·诺尔斯金、[俄]佛兰西斯卡·亚布索娃 绘   韦苇,广西师范大学出版社   2015-1   32.80
小狗钱钱:轻松享有成功与富裕,8.7,7606,[德] 博多·舍费尔   王钟欣、余茜,中国工人出版社   2002-2   15.80元
教海鸥飞翔的猫,8.5,635,[智利]路易斯·塞普尔维达   宋尽冬,人民文学出版社   2011-10   25.00元
我想去看海:不一样的卡梅拉1,9.1,1330,(法)克利斯提昂.约里波瓦 文、(法)克利斯提昂.艾利施 图   郑迪蔚、漪然,二十一世纪出版社   2006-09-01   6.8
小公主:外国文学经典,8.8,2371,(美)伯内特,外语教学与研究出版社   2006-1   9.90元
哈尔的移动城堡:“哈尔的移动城堡”三部曲之一,8.3,1022,[英]戴安娜•韦恩•琼斯   何羲和,人民文学出版社   2013-1   28.00元
皮皮鲁传,8.8,9338,郑渊洁,学苑出版社   2003-11   11.00
童话的心理分析,7.4,483,[瑞士] 维雷娜·卡斯特,生活·读书·新知三联书店   2010-12   29.80元
百变小红帽:一则童话三百年的演变,7.5,2433,[美] 凯瑟琳·奥兰丝汀   杨淑智,生活·读书·新知三联书店   2006-10   15.00元
纳尼亚传奇：狮子、女巫和魔衣柜,8.2,1765,[英] C. S. 刘易斯 著、[英] 保利娜·贝恩斯 插图   陈良廷、刘文澜,译林出版社   2005-11   14.00元
童话中的男性进化史,0,10,[美] 艾伦·B.知念   陈宇飞,广西师范大学出版社   2016-10   56.8
花香小镇,9.1,1664,安房直子   彭懿,少年儿童出版社   2004-03   17.00元
时代广场的蟋蟀,8.8,1030,(美)乔治·塞尔登   傅湘雯,新蕾出版社   2003-09   10.00元
小毛驴与我:安达露西亚挽歌,8.7,379,[西] 胡安·拉蒙·希梅内斯   林为正,团结出版社   2005-01   22.80元
晴天有时下猪,8.9,870,矢玉四郎   彭懿,21世纪出版社   1999-8   9.00
童话心理学,8.3,155,[日]河合隼雄   赵仲明,南海出版公司   2015-5   39.00元
伊索寓言,8.3,4711,(希腊)伊索   吴健平、于国畔,上海译文出版社   2007-7   12.00元
雪人,8.9,862,雷蒙·布力格,少年儿童出版社   2006年3月   32.8
童话的魅力:童话的心理意义与价值,8.2,39,[美] 布鲁诺·贝特尔海姆   舒伟、丁素萍、樊高月,社会科学文献出版社   2015-7   69.00元
直到花豆煮熟:小夜的故事,9.1,1080,[日]安房直子   彭懿,接力出版社   2006-01-01   9.0
皮皮鲁和罐头小人:皮皮鲁总动员,9.0,1195,郑渊洁,二十一世纪出版社   2006-1   13.80元
大林和小林,8.6,434,张天翼,新蕾出版社   2001-10   10.00元
黄昏海的故事,9.2,1219,安房直子   彭懿,少年儿童出版社   2004-03-01   17.00元
小狐狸买手套:儿童之友,9.1,445,(日)新美南吉 编文、(日)黑井健 绘   彭懿、周龙梅,南海出版公司   2010年2月   29.80元
巨人的花园（中英双语）,9.0,498,(英) 奥斯卡·王尔德著;陈宇译,天津社会科学院   2006-12   16.80元
女巫一定得死:童话如何塑造性格,7.6,231,(美)谢尔登·卡什丹   李淑珺,机械工业出版社   2014-8   39.00元
小王子（纯美珍藏绘本）,9.2,1963,[法] 安东尼·德·圣-埃克苏佩里   梅思繁,中央广播电视大学出版社.国开童媒   2015-10   45.00元
最后的精灵:迫不及待想与最爱的人分享的故事,8.4,1444,希瓦娜‧达玛利   景翔,河南文艺出版社   2009-7   26.80元
《异世界童话之旅1：许愿魔咒》,9.3,64,[美] 克里斯·柯尔弗   钱峰,江苏凤凰文艺出版社  江苏凤凰少儿出版社   2015-11   39.80元（全两册）
金拇指,8.5,3215,郑渊洁,学苑出版社   2003-3   19.00元
神奇的收费亭:爱心树文学馆,8.4,174,(美)诺顿·贾斯特 著、(美)朱尔斯·费弗 绘   张加楠,南海出版公司   2012-1   25.00元
胡桃夹子,8.7,1320,(德)霍夫曼著、王燕生译   王燕生,浙江文艺出版社   2005-1   16.00元
小国王,8.5,747,[德]阿尔塞尔•哈克（著）、[德]米夏埃尔•佐娃（绘）   谭小然,陕西师范大学出版总社有限公司   2010-12-1   25.00元
皮皮鲁和419宗罪,8.2,710,郑渊洁,二十一世纪出版社   2006-1   15.80元
智齿,8.3,4195,郑渊洁,学苑出版社   2001-5   21.00元
童话镇:唤醒,8.6,46,（美）爱德华•凯特西斯 编剧、（美）亚当•霍洛维茨  编剧、（美）奥黛特•比奈 著   王虹,漓江出版社   2015-12-1   37.8
你看起来好像很好吃,9.1,6307,宫西达也   杨文,北京少年儿童出版社   2004-06   32
刚好有你在,8.1,236,夏正正,长江文艺出版社   2015-5-15   39.80元
风的旱冰鞋:日本大幻想小说,9.3,957,安房直子   彭懿,二十一世纪出版社   1999年08月   6.4元
尼尔斯骑鹅历险记,8.4,2071,塞尔玛・拉格洛芙   石琴娥,春风文艺出版社   2004-1   16.00元
宫泽贤治童话,8.4,163,[日] 宫泽贤治   周龙梅,译林出版社   1994-8   5.50元
书虫小鼠,8.2,202,(美)萨姆·萨维奇   蔡海燕、李宗陶,译林出版社   2012-11-20   25.00元
有我陪着你，什么都不怕:脱线森林,7.8,225,夏正正、一蚊丁、PP殿下,长江文艺出版社   2015-9   49.8
病菌集中营,8.4,3159,郑渊洁,学苑出版社   2000-10   17.00
郑渊洁十二生肖童话（12册）,8.8,1884,郑渊洁,学苑出版社   1999-06   8.00
森林都记得,8.0,370,扫把,湖南美术出版社   2012-6-5   32.00元
鲁西西传,8.8,7651,郑渊洁,学苑   2006-3   18.00元
女巫,8.8,654,(英)罗尔德·达尔   任溶溶,明天出版社   2004-4   13.50元
白鹦鹉的森林,9.2,1418,安房直子   彭懿,少年儿童出版社   2004-03-01   17.00元
我是钱,8.5,2498,郑渊洁,学苑出版社   2001-4   15.00元
吹小号的天鹅,8.6,614,[美] E·B ·怀特   任溶溶,上海译文出版社   2004-1   17.00元
舒克和贝塔历险记:郑渊洁童话丛书,8.8,10460,郑渊洁,学苑出版社   1996-10-1   15.00
魔鬼三角的秘密:中国童话百家,9.3,120,李曼,中国少年儿童出版社   1991.12   3.80
阿狸·尾巴,8.5,1132,Hans,中国华侨出版社   2013-10   39.8
法国童话精选,9.6,296,贝洛 等   傅辛 等,上海译文出版社   1992-1   7.35元
Princessesoubliéesouinconnues...:被遗忘的公主,9.1,222,Rébecca Dautremer、Philippe Lechermeier,"Gautier Languereau   10 Nov 2004   EUR 19,00"
格林童话,8.8,2614,格林兄弟   施种,上海译文出版社   2006-8   13.00元
PoliticallyCorrectBedtimeStories:ModernTalesforOurLifeandTimes,8.9,110,James Finn Garner,John Wiley & Sons Inc   1994-04   USD 9.95
银孔雀,9.1,1033,安房直子   彭懿,少年儿童出版社   2004-03-01   17.00元
纳尼亚王国传奇（全7册）,8.6,687,[英] 刘易斯 著、贝恩斯 图   米友梅 等,译林出版社   2001-9   69.50元
了不起的狐狸爸爸,8.4,491,罗尔德・达尔   代维,明天出版社   2004-4-1   6.50
谁也看不见的阳台,9.2,631,(日)安房直子   安伟邦,辽宁少年儿童出版社   1986-7   0.90元
笨狼的故事:中国幽默儿童文学创作丛书,8.1,159,汤素兰,浙江少年儿童出版社   2002-04   16.00元
玛蒂尔达,8.8,248,罗尔德・达尔   任溶溶,明天出版社   2004-4-1   16.50
魔法树:魔法树的故事,9.1,53,[英]伊妮德·布莱顿   吴艳红,吉林美术出版社   2013-5-1   18.00
好心眼儿巨人,8.7,236,罗尔德・达尔   任溶溶,明天出版社   2004-4-1   15.50
FablesVol.1:LegendsinExile,8.4,101,Bill Willingham,Vertigo   2002-12-1   USD 12.99
王尔德全集,9.0,716,[英] 奥斯卡·王尔德   杨烈、黄杲炘,中国文学出版社   2000-9   198.00
爱丽斯奇境历险记,8.1,1298,刘易斯·卡罗尔   吴钧陶,上海译文出版社   2007-3   8.00元
阿狸·旋木花园,8.6,319,Hans,中国华侨出版社   2016-3   39.80
格林童话全集（上下）（成人双语版）,8.9,20,（德）格林兄弟   裴大鹰,中国人民大学出版社   2004-11   59.80
苹果树上的外婆,8.6,438,[奥] 米拉·洛贝 著、[奥] 祖西·魏格尔 绘   张桂贞,新蕾出版社   2006-1   12.00元
没有画的画册,8.6,534,（丹）安徒生   林桦,上海社会科学院出版社   2004-01   25.00元
光荣的荆棘路,8.4,164,丹麦.安徒生,中国社会科学   2003-9   28.00元
我的妈妈是精灵,8.7,2496,陈丹燕,春风文艺出版社   1998-01   10.00元
爷爷一定有办法,8.9,2261,菲比·吉尔曼   宋珮,少年儿童出版社   2005-2   28.80元
5月35日:凯斯特纳作品精华,9.2,144,（德）埃里希・凯斯特纳   刘冬瑜,明天出版社   1999-08-01   8.00
染血之室与其他故事,8.2,350,[英] 安吉拉·卡特   严韵,南京大学出版社   2015-1   22.00元
两个意达,9.1,474,(日)松谷美代子   高林,中国少年儿童出版社   1985   0.80
木偶奇遇记,8.5,3059,[意] 卡洛·科洛迪   任溶溶,人民文学出版社   1998-5   7.60元
童话里的世界,8.3,39,蓝蓝,中信出版社   2016-1   45.00元
