name,rating,comments,author/translator,pub
13只钟,8.0,96,(美)詹姆斯·瑟伯   张淕   重庆大学出版社,楚尘文化   2012-9   25.00元
豪夫童话,8.7,455,[德]维廉·豪夫   施种、侯浚吉,上海译文出版社   2007-7   17.00元
到你心里躲一躲,8.9,128,汤汤,中国少年儿童新闻出版总社，中国少年儿童出版社   2010年01月   18.00
一只聪明的小狐狸,9.1,83,[捷克] 约瑟夫·拉达   孙幼军,二十一世纪出版社   2007.12   12.00元
雨滴项链,9.1,241,(英)琼·艾肯   舒杭丽,新蕾出版社   1983   0.40.
小女巫,9.0,330,奥得弗协德·普鲁士勒   张捷鸿,二十一世纪出版社   2005-9   8.00元
風與樹之歌,9.3,217,安房直子   彭懿,時報文化   2005年06月20日   NT$ 200
时间的皱纹,7.1,98,马德琳·英格   廖丽,吉林文史出版社   2007-6   20.00元
故事大王讲故事100篇,7.9,30,于玉珍、虞农,民族出版社   1994-1   4.80
穿靴子的猫:凯迪克大奖绘本系列,8.5,300,(美)马尔科姆·阿瑟 文、(美)弗雷德·马塞利诺 图   彭懿、杨玲玲,贵州人民出版社   2009年06月   26.80元
来自鬼庄园的九九,8.2,133,汤汤,中国少年儿童出版社   2010-1   18.00元
我可以抱你吗宝贝,8.9,445,,郁雨君   2008-5   16.00元
原来如此的故事,7.5,71,鲁迪亚德·吉卜林   刘仲敬,广西师范大学出版社   2015-9-1   28.00元
风又三郎:宫泽贤治童话文集①,8.9,112,[日] 宫泽贤治   周龙梅,少年儿童出版社   2003-5   17.00元
爱哭的猫头鹰,8.1,102,插图(比利时)菲利珀·高森斯、编者:鲍尔·菲尔斯特   于珊,湖北美术出版社   2008年   26.00元
蛙先生和他的梦,0,10,童子,安徽少年儿童出版社   2016-6   16
Grimm'sFairyTales,8.1,103,Jacob Grimm、Wilhelm Grimm   NTC,Contemporary Publishing Company   1993-1   22.50元
最后一朵花,8.0,82,[美]詹姆斯·瑟伯   李捃君,重庆大学出版社   2012-9   24.00元
想变成人的猴子:笑猫日记3,8.6,608,杨红樱,明天出版社   2006-5   15.00元
童,8.2,613,Lisk 绘,黑龙江美术出版社   2010-12   29.80元
小无知的故事（1-4）,8.3,19,韩国臻、王胜军,人民美术出版社   1987-03   4.06
红玫瑰旅馆的客人,8.7,753,[日] 安房直子、马冰峰 绘   周龙梅、彭懿,接力出版社   200606   9.00元
渡过雪原,8.4,34,(日)宫泽贤治   周龙梅、彭懿,贵州人民出版社   2008-06-01   10.00元
逆流河,8.3,570,（法）让-克劳德·穆勒法   刘成富、江蕾,接力出版社   2008-04   21.0
最後的巨人,9.4,31,"法蘭斯瓦．普拉斯 Place, Francois (François Place)   陳太乙   時報文化出版企業股份   2010",01 20   NT$250
狐狸列那的故事:世界名著金库,9.0,251,（法）玛·阿希-季浩夫人   严大椿,少年儿童出版社   1997-11-01   12.20
故宫里的大怪兽:洞光宝石的秘密,9.3,49,常怡,知识出版社   2015-9-16   20
空中城堡:“哈尔的移动城堡”三部曲之二,7.9,206,[英]戴安娜•韦恩•琼斯   匪石,人民文学出版社   2013-1   28.00元
鼹鼠的月亮河,8.7,34,王一梅,新蕾出版社   2006-11   12.00元
杨红樱童话珍藏版,8.6,271,杨红樱,明天   2009-5   19.00元
初版格林童話（精華篇）,8.2,73,格林兄弟,旗品   20000615   NT$ 169
为自己出征:盔甲骑士,8.5,719,[美] 罗伯特•费希尔   郭伟刚,南海出版公司   2009-10   18.00元
这是我最好的爱:王尔德经典童话选,8.9,170,[英]王尔德   巴金,江苏文艺出版社   2012-8   35.00元
埃梅童话:世界童话经典插图,9.6,26,（法）马塞尔・埃梅   林秀清,接力出版社   1998-08   18.00
红蜡烛和人鱼姑娘,9.1,174,(日)小川未明   施元辉、孟会亚,福建人民出版社   1981   0.47
小灵通漫游未来,8.9,1534,叶永烈 著、杜建国 插图,少年儿童出版社   1978   0.29
小约翰,8.1,178,[荷兰] 弗雷德里克·凡·伊登   胡剑虹,华夏出版社   2004-5   18.00元
宝葫芦的秘密,8.4,379,张天翼,人民文学出版社   1959   0.32
南极姑娘,6.9,610,陈谌,北京联合出版公司   2014-12-1   CNY 39.80
妈妈菩萨孩子佛,8.1,16,粲然,贵州人民出版社   2016-10-18   39.80
罐头小人,9.0,2166,郑渊洁,学苑出版社   2004-4-1   15.0
亲爱的小鱼:启发精选好书,9.0,596,[法] 安德烈·德昂   余治莹,河北教育出版社   2007-11   29.80元
张天翼儿童文学全集（全四册）,9.1,28,张天翼,中国少年儿童出版社   2002-8-1   98.00元
梦的尽头:安房直子的十七个故事,9.0,59,(日)安房直子 著、(日)味户惠子 图   彭懿、周龙梅,二十一世纪出版社   2013-6   25.00元
舒克贝塔和五角飞碟,9.3,212,郑渊洁,二十一世纪出版社   2007-7   14.80元
那天，我用爸爸換了兩條金魚,8.7,241,尼爾．蓋曼（文）、大衛．麥金（圖）   陳瀅如,繆思   20041001   128.10
小朵朵和大魔法师,9.3,43,汤素兰,海天出版社   2005-1   15.00元
长袜子皮皮的冒险故事:世界名著金库,9.3,490,[瑞典]阿.林格伦   李之义,少年儿童出版社   1983   13.80
安徒生童话剪纸,8.3,90,（日）太田拓美   李晓洋,河南科学技术出版社   2011-5   28.80元
拴牛的山茶树:日本儿童文学大师系列,8.8,30,(日)新美南吉   周龙梅、彭懿,新星出版社   2012-8   25.00元
塔克的郊外,9.0,186,乔治·赛尔登   袁颖,新蕾出版社   2011-1   15.00元
纸牌的秘密,8.5,3910,(挪)乔斯坦·贾德   李永平,作家出版社   2007-10   23.00元
Joliesténèbres:美丽黑暗,9.1,196,Fabien Vehlmann、Kerascoët,Dupuis SA   2009-03-06   EUR 16.00
皮皮鲁和梦中人,8.7,384,郑渊洁,二十一世纪出版社   2006-1   13.80元
豆蔻镇的居民和强盗:世界少年经典文学丛书,8.9,553,（挪威）T・埃格纳   叶君健,大众文艺出版社   2003-01-01   12.00
蝴蝶狮,9.1,67,[英] 麦克·莫波格   柳漾,光明日报出版社   2016-3   29.80元
七色花,8.7,2554,(苏)卡泰耶夫   曹靖华,少年儿童出版社   1981   0.13.
格列佛游记,7.6,8505,[英] 乔纳森·斯威夫特   杨昊成,译林出版社   1995-12   8.50元
月亮的味道,8.6,1134,麦克·格雷涅茨   漪然 彭懿,二十一世纪出版社   2007年1月   26.00元
是谁嗯嗯在我的头上,8.6,2526,（德）霍尔茨瓦特、（德）埃布鲁赫   方素珍,河北教育出版社   2008-10   29.80元
THEWINDINTHEWILLOWS,9.2,43,,Kenneth Grahame   1993-1   20.00元
RoaldDahl15BookBoxSet,8.8,24,Roald Dahl,Penguin USA (Juv)   2010-3   628.00元
宝宝晚安----儿童睡前故事366,9.9,45,凯思林·杰克逊   吴然吟、徐依琲、蔡颖,上海翻译出版公司   1988   3.10
畸人馆:黑童话集,8.2,59,,甜老虎   聯邦走馬製作   2012-11
比波王子的故事,9.4,94,(法)皮埃尔·格里帕里   良葆,上海译文出版社   1990   1.85
爱丽丝漫游奇境:名著名译名绘版,9.3,62,(英)刘易斯·卡罗尔 著、(澳大利亚)罗伯特·英潘 绘   王永年,接力出版社   2012-5   98.00元
LittlePrince:2006WallCalendar,9.3,45,Jeu d'Aujourd'hui,Universe Publishing   2005-06-01   USD 13.99
童书创作实用指南,8.5,69,(英)苔丝狄蒙娜·麦克卡农、苏·桑顿、雅兹亚·威廉姆斯   宋佩,接力出版社   2011-11   88.00元
爷爷的煤油灯:新美南吉的童话,8.6,30,(日)新美南吉   王新禧,陕西人民出版社   2012-12   22.80元
小鼹鼠的土豆,8.7,138,熊亮、熊磊、邹春燕,人民大学   2003-8-1   12.80
木民谷的冬天:木民谷的冬天,8.9,134,托芙・扬松   任溶溶,明天出版社   2004-4   11.00元
保姆狗的阴谋:笑猫日记1,8.6,908,杨红樱,明天出版社   2006-5   15.00元
生化保姆,8.1,2692,郑渊洁,学苑出版社   2000-7   19.00元
稻草人:稻草人,8.5,124,叶圣陶,湖北少年儿童出版社   2006-1-1   15.80元
小公主和矮爸爸,9.1,80,伍美珍,人民邮电   2009-8   15.00元
请到我的烟囱街来:名家名译文学馆,9.4,131,(瑞典)贡内尔·林德   任溶溶,二十一世纪出版社   2008-5-1   12.00元
一岁的小鹿,9.6,61,(美)罗琳斯   李俍民,外国文学出版社   1980   1.20
皮皮鲁和金拇指,8.8,356,郑渊洁,二十一世纪出版社   2006-1   19.80元
秋空爽朗:童话故事与人的后半生,8.1,73,艾伦.奇南(美)   刘幼怡,东方出版社   1998-09   12.00
Moomin:TheCompleteToveJanssonComicStrip-BookOne,9.7,45,Tove Jansson,Drawn and Quarterly   2006-11-14   140.00元
香梅女皇,8.4,42,淡月清桐,中国青年出版社   2014-1   26.00元
大灰狼罗克,8.6,3603,郑渊洁,学苑出版社   1996-10-1   10.00
小飞人卡尔松,8.8,741,阿斯特丽德・林格伦   李之义,中国少年儿童出版社   1999-8   25.10元
蓝色童话,9.3,195,[英国] 安德鲁·朗格   周仁义、顾之敏 等,少年儿童出版社   1991-11   21.00元
笑猫日记-一头灵魂出窍的猪:笑猫日记10,8.5,400,杨红樱,明天出版社   2010-1   15.00元
白客,8.2,2999,郑渊洁,学苑出版社   2000-11   19.00元
快乐王子:快乐王子,9.3,61,[英] 王尔德   巴金,上海译文出版社   2014-3-1   CNY 16.00
罗大里童话:四个历险故事,9.6,95,贾尼·罗大里   任溶溶,湖南少儿出版社   1990   3.85
魔女宅急便:新经典文库,8.4,389,(日)角野荣子 著、(日)林明子 绘,南海出版社   2007年7月1日   20.00
很禽兽,8.2,572,仇敏业 著、陈蕾 绘,新星出版社   2009-3   26.00
彼得兔的故事,8.5,176,(英)波特   张润芳,中国社会科学出版社   2003-04   26.00
格林童话I,8.2,72,[英]菲利普·普尔曼   文泽尔,湖南人民出版社   2013-11   34.00元
风沙星辰,8.5,621,[法] 安东尼·德·圣艾修伯里   艾柯,哈尔滨出版社   2002-3   21.80元
洋葱头历险记:世界名著金库,8.8,1280,(意)姜·罗大里   任溶溶,少年儿童出版社   1997-11-1   13.90
天鵝絨兔子,9.4,18,"瑪格利．威廉斯．比安可 Bianco, Margery Williams、酒井駒子   陳珊珊",誼文化實業股份有限公司   2010   280新臺幣
皮皮鲁和教室里的隐身人,8.6,676,郑渊洁,二十一世纪出版社   2006-1   13.80元
Momo,8.9,56,Ende,Thienemann Verlag   1973   EUR 13.90
皮皮鲁分身记,8.5,257,郑渊洁,二十一世纪出版社   2006-7   13.80元
下头一场雪的日子,8.9,281,(日)安房直子 文、(日)小峰由兰 图   彭懿,少年儿童出版社   2009年6月   17.00元
雾中的奇妙小镇:雾中的奇妙小镇,8.4,74,(日) 柏叶幸子 著、(日) 杉田比吕美 绘   赵玉皎,南海出版公司   2010-6   15.00元
童话是童话是童话,7.1,177,［德］苏彼勒·海恩,人民文学出版社   2006-5-1   16.8
大盗霍琛布鲁茨（全三册）,9.7,30,奥得弗雷德・普鲁士勒   陈俊,二十一世纪出版社   2000-8-1   6.50
那个骑轮箱来的蜜儿,8.5,806,杨红樱,作家出版社   2004-04   15.00元
明希豪森奇游记,9.6,34,(德)埃.拉斯伯   刘浩,少年儿童出版社   1980.9   0.35
橡树上的逃亡（共两部）,9.1,145,蒂莫泰·德·丰拜勒   刘英华,新蕾   2007-9   24.00元
红发安妮,8.7,93,露西·莫德·蒙哥马利   邓少勉,中国对外翻译出版公司   2002年5月1日   17.6
魔法灰姑娘:叛逆的命运,8.7,248,[美]孟尔.卡森.乐文   赵永芬,新蕾出版社   2003-09   16.00元
中国童话名著连环画(上下),9.7,220,陈明钧、赵冰波,浙江少年儿童出版社   2000-3-1   24.00
五个苹果折腾地球,8.8,1990,郑渊洁,学苑出版社   2004-4-1   15.00元
自私的巨人TheSelfishGiant,9.2,45,奧斯卡．王爾德，費歐娜•華特斯，費班恩•納格倫，譯／劉清彥,道聲   20050401   NT$ 250
拿不动的世界,7.6,552,大橘子、东东枪,中信出版社   2014-5-30   39.80元
大森林里的小木屋,9.1,127,罗兰・英格斯・怀特   温淑真,天地出版社   2005-01   15.00元
皮皮鲁恐怖易位,8.6,273,郑渊洁,二十一世纪出版社   2006-1   13.80元
小狐狸阿权,9.3,106,(日)新美南吉 文、(日)黑井健 图   周龙梅、彭懿,新星出版社   2012-6   32.00元
我想有颗星星:不一样的卡梅拉2,9.0,589,[法]克利斯提昂.约里波瓦 文、[法]克利斯提昂.艾利施 图   郑迪蔚、漪然,二十一世纪出版社   2006年9月   6.80元
绿野仙踪全集之一,9.7,238,（美）鲍姆   筱章等,上海译文出版社   1992年2月   6.65
渔夫和他的灵魂,8.6,82,,王尔德   2009-7   25.00元
红帆,8.2,130,[苏] A. 格林   张佩文,广西师范大学出版社   2002-09   7.80
星星和蒲公英:日本儿童文学大师系列,9.1,68,(日)金子美铃   吴菲,新星出版社   2012-8   25.00元
小靈魂與太陽:Thelittlesoulandthesun:achildren’sparableadaptedfromConversationwithGod,9.5,29,尼爾‧唐納‧沃許   劉美欽,方智   2001年05月09日   NT$ 129
皮皮鲁和红桃老K,8.7,287,郑渊洁,二十一世纪出版社   2006-7   13.80元
装在口袋里的爸爸,7.6,209,杨鹏,春风文艺出版社   2000-08   9.00
流浪狗和流浪猫,8.6,256,杨红樱,作家出版社   2004-5-1   13.00元
九色鹿,9.5,119,严霁 改编、张世明 绘,少年儿童出版社   1983年12月   0.30
MAMOKO妈妈看！,0,10,[波兰]亚历山德拉•米热林斯卡、[波兰]丹尼尔•米热林斯基,惠旋   未来出版社   2016-5
外星童话,8.3,262,奥非斯,上海人民出版社文学出版中心   2008   25.00元
荒野丛林,7.4,61,[美]科林·梅洛伊  著、卡森·埃利斯 绘   蔡一鸣,上海文艺出版社   2014-11   42.00元
怪老头的故事,9.7,19,孙幼军,浙江文艺出版社   2012-3   13.80元
公主的月亮,8.8,355,（美）詹姆斯·瑟伯、（美）马克·西蒙特（图）   邢培健,南海出版公司   2008-3   29.80元
樱桃沟的春天:笑猫日记9,8.7,503,杨红樱,明天出版社   2009-5   15.00元
假话国历险记:世界名著金库,8.9,574,姜・罗大里   任溶溶,少年儿童出版社   1997-11-1   11.10
鹿舞起源,8.5,47,(日)宫泽贤治   周龙梅,新星出版社   2012-8   25.00元
永远的男孩女孩:从灰姑娘到哈里·波特,7.7,131,(美)艾莉森·卢里   晏向阳,南京大学出版社   2008年10月   18.00
屋顶上的小孩,8.3,145,(美)奥黛莉·克伦毕斯   刘清彦,新蕾出版社   2004-8-1   15.00元
欧洲童话村之旅,7.6,169,[韩]李炯俊 图 文   李悦,生活.读书.新知三联书店   2010年10月   39.00元
你睡不着吗?:信谊世界精选图画书,8.9,216,(爱)马丁·韦德尔 著、(爱)芭芭拉·弗斯 图   潘人木,明天出版社   2008-12   32.80元
冰龙,7.9,93,[美] 乔治·马丁、路易斯·罗伊 绘   屈畅,长江少年儿童出版社   2016-4   35.00元
狗来了,8.5,146,(奥)克里斯蒂娜·涅斯特林格   杨立,新蕾出版社   2006-06-01   14.00元
挖鼻孔真好玩,7.9,597,（德）库娄特 著   王星 译,贵州人民出版社   2007-5-1   23.8
羊男的圣诞节:羊男的圣诞节,7.6,2020,村上春树、佐佐木MAKI   林少华,上海译文出版社   2004-01   13.00
五毛钱的愿望,7.9,87,安德鲁・格拉斯、比尔・布里坦、隋荣谊   隋荣谊,新蕾出版社   2004-8-1   14.00元
从前，有一个点:事物的起源与秘密,8.9,59,常立,广西师范大学出版社   2013-1   24.00元
挖鼻孔的大英雄:世界精选幽默图画书,7.9,140,阿兰·麦特   文小山,北京科学技术出版社   2009-2   24.80元
不一样的卡梅拉（1-10册）,9.3,389,（法）克利斯提昂·约里波瓦、（法）艾利施 绘   郑迪蔚,二十一世纪出版社   2011-11   120.00元
公主向前走,8.5,189,Marcia Grad,方智出版社   2000-09-01   230
黑猫历险记,9.5,64,（捷克）约瑟夫·拉达   刘星灿,湖南少年儿童出版社   1989.1.   3.40
牵一只蜗牛去散步,8.6,133,张文亮,中国工人出版社   2004-1   18.00元
彼得兔经典故事集-小兔彼得:小兔彼得,9.1,84,比阿特丽克斯·波特   吴青,天天出版社   2011-5   20.00元
拥抱幸福的小熊-阳光姐姐嘉年华:抱幸福的熊,9.1,521,伍美珍,明天出版社   2006-6   18.00元
花婆婆:启发系列绘本,8.9,1763,[美]芭芭拉·库尼   方素珍,河北教育出版社   2007-4   29.80元
声音森林,8.8,221,(日)安房直子 文、(日)广川沙映子 图   彭懿,少年儿童出版社   2009年6月   17.00元
世界童话名著文库2,9.9,24,浦漫汀 张梅妮、梅沙 汪毓馥 编,新蕾出版社   1989年3月   6.65元
卡里来和笛木乃,8.0,27,[阿拉伯] 伊本·穆加发,林兴华   人民文学出版社   1959-3
没头脑和不高兴:16开彩印,8.4,561,任溶溶,浙江少年儿童出版社   2004-1-1   23.00
纽约少年,9.2,30,(美)赫尔曼.沃克   常弓、骆莹,中国少年儿童出版社   1985   1.80
不能弄湿脚的青蛙女王,9.3,28,【意】大卫•卡利、【意】马可•索玛   陈木含,郑州大学出版社   2016-5   32.80元
兔之眼,8.7,351,灰谷健次郎   吴菲,中国城市出版社   2010-9   24.80元
座敷童子的故事,7.7,282,(日)宫泽贤治   周龙梅,百花洲文艺出版社   2011-6   28.00元
幽默儿童文学名著译丛（全6册）:因《幽默儿童文学名著译丛》重复使用一个ISBN号，该页面暂时代表该丛,9.6,97,任溶溶 主编、[德] 奥·普罗伊斯拉、[英] 玛丽·诺顿、[英] 拉切尔·比林顿、[瑞典] 林德、[日] 佐藤晓、[芬] 图·杨松   王石安、任溶溶、费正平、黄亦波、吉裕生、潘辛、陈玉墀,浙江少年儿童出版社   1990   10.00元
TheVelveteenRabbit:OrHowToysBecomeReal,9.2,46,Margery Williams、Michael Hague (绘),Square Fish   2008-1-22   USD 7.99
儿童睡前故事大全,8.2,12,陆健,同心出版社   1993-04   13.00
神秘的女老师,8.6,606,杨红樱,作家出版社   2004-04   15.00元
周锐童话选,9.7,46,周锐,少年儿童出版社   1994   18.00
TheBookofLostThings,8.4,168,John Connolly,"Atria   November 7, 2006   $23.00"
德国，一群老鼠的童话,8.3,140,费尔曼,二十一世纪出版社   2002-8   8.80元
爱丽莎的眼睛:橡树上的逃亡大结局,9.0,68,(法)蒂莫泰·德·丰拜勒、绘画(法)弗朗索瓦·普斯   刘英华,新蕾出版社   2008-09-01   28.00元
童话镇:别悲伤，阳光还在温暖,7.9,65,童话镇的邮递员 (作者)、Starry阿星 (插图作者),中国友谊出版公司   2015-12-1   42.8
大草原上的小老鼠,9.3,62,枚述,上海教育出版社   2000-12   13.5
你很特别,9.0,320,陆可铎、马第尼斯,2004-6-1   15.00
单翼天使不孤单,8.6,909,伍美珍,明天   2008-5   16.00元
失落的一角:新经典文库,8.8,8482,谢尔·希尔弗斯坦   陈明俊,南海出版公司   2003-9-1   20.00
戴高帽的猫,8.3,89,(美国)苏斯博士   任溶溶,上海译文出版社   2002-9   18.00元
鬼车,7.8,2067,郑渊洁,学苑出版社   2002-3-1   19.00
安徒生童话全集（全四册）,9.3,262,安徒生   叶君健,中国城市   2009-5   98.00元
佛兰德斯的狗:原名：ADOGOFFLANDERS一条灵狗与一个天才少年生死不渝的爱与友谊,8.0,196,奥维达   肖毛,北京十月文艺出版社   2007-1   19.00元
会搔耳朵的猫,9.0,43,(法)马塞尔·艾梅   黄新成,重庆出版社   1982年12月   0.57
毒蜘蛛之死,7.6,234,冰波,长江文艺出版社   2011-12   26.80元
小无知气球旅行,8.9,137,(俄)诺索夫   和志宽,浙江文艺出版社   2002-05-01   9.80
精灵鼠小弟,8.2,311,E．B·怀特   任溶溶,上海译文出版社   2004-6   15.00元
皮皮鲁全传,9.2,843,郑渊洁,四川少年儿童出版社   1984-11-01   1.79 元
人鸦,8.3,116,（奥）施莱伯尔   陈俊,二十一世纪出版社   2002-08   8.80元
一号街的幽灵猫:日本大幻想小说,8.8,270,木暮正夫,二十一世纪出版社   1999-08-01   8.30元
狼蝙蝠:中华当代童话新作丛书,9.4,96,冰波,江苏少年儿童出版社   1993-12-01   7.50
皮皮鲁和巴拉娜,8.6,199,郑渊洁,二十一世纪出版社   2007-3   13.80元
晴天下猪,9.0,252,[日] 矢玉四郎   彭懿,二十一世纪出版社   2002-9   12.80元
海的女儿,9.0,465,"（丹麦）安徒生（Andersen,H.C.）   叶君健",北京燕山出版社   2007   15.00元
幸福的鸭子:笑猫日记5,8.6,614,杨红樱,明天出版社   2007-4   15.00元
飞天小魔女,9.5,61,(联邦德国)普罗伊斯拉   吉裕生,少年儿童出版社   1989-11   1.75
英伦童话地图:从爱丽丝到哈利·波特,8.5,91,张弘,少年儿童出版社   2005-4   25.00元
笋瓜自传,8.3,402,帕里斯   邱曙苇,人民文学出版社   2005-8   17.00元
你真好:蒲蒲兰绘本馆,9.1,2017,宫西达也 文 图   蒲蒲兰,二十一世纪出版社   2005-8   26.80元
风语河岸柳,8.5,382,格拉姆   阮斌兵,外语教学与研究出版社   1998-1   5.90元
总有一天会长大:(国际安徒生奖获奖作家书系),8.7,24,托摩脱·蒿根   裴胜利,河北少年儿童出版社   2002年09月   8.6元
童话山海经,0,10,林一苇,河南大学出版社   2016-7   32
西女巫之死,8.3,418,梨木香步   竺家荣,人民文学出版社   2012-3   19.00元
“全不知”游月球:“全不知”三部曲,9.1,75,[苏联] 尼·诺索夫   昌茂,中国少年儿童出版社   1984年9月   1.20元
小王子,8.9,113,（法）圣埃克苏佩里   张小娴,湖南文艺出版社   2015-6   32.00
橙色童话,9.0,117,【英国】安德鲁·朗格   傅定邦,少年儿童出版社   1996年1月第1版   20.00元
StuartLittle,7.8,131,E. B. White,Puffin   2007-7   86.00元
猫女咪妮,8.1,144,[荷兰]安妮·M·G·施密特   李剑敏,上海译文出版社   2009.7   21.00元
吉卜林动物小说,9.0,30,[英]罗德亚德·吉卜林   文美惠,上海文艺出版社   1999-02-01   7.00元
暴风雨之夜/翡翠森林狼和羊第1册:《暴风雨之夜》,8.7,138,木村裕一 作、阿部弘士 画   彭懿,万卷出版公司   2009-1   25.00元
舒克贝塔德国游,9.1,88,郑渊洁,二十一世纪出版社   2007-7   14.80元
苏斯博士最经典童书:第一辑、第二辑,9.0,50,(美)苏斯博士   馨月,现代出版社   2010年9月   176.00元
一起去远方,8.8,47,荷香,重庆大学出版社   2011-1   24.00元
凯迪克与凯特·格林威图画书精选集,9.0,69,[英]伦道夫·凯迪克、[英]凯特·格林威   屠岸、张璐诗、尹晓冬、徐泓、郭心朵、武霖,连环画出版社   2012-6   228.00元
我也曾如你般天真:爱上一个人你会长大||失去一个人你会成熟,8.1,79,林一苇,中信出版社   2012-11   32.00元
孙小圣和猪小能:中华当代童话新作丛书,9.2,82,周锐,江苏少年儿童出版社   1993年11月   5.00
轻轻公主:小书房经典儿童文学作品译丛,8.9,57,(英)乔治·麦克唐纳   漪然,人民邮电出版社   2006-4-1   13.80
少年小树之歌,9.2,254,（美）卡特   姚宏昌,浙江文艺出版社   2005-1-1   18.00
夜莺:安徒生童话全集之三,8.9,1297,(丹麦)安徒生   叶君健,上海译文出版社   1978年6月   0.39元
非洲童话,9.0,32,董天琦,上海文艺出版社   1987   8.30
Coraline,8.7,218,Neil Gaiman,William Morrow Paperbacks   2006-8-29   USD 12.99
爱死你,8.5,1117,江南 著、鞋垫 绘,华文出版社   2003-4   19.80元
逃家小兔,8.9,1578,文 玛格丽特·怀兹·布朗、图 克雷门·赫敏   黄迺毓,少年儿童出版社   2005年5月第1版   21.80元
谁也不知道的小小国,8.6,92,（日）佐藤晓   朱自强,接力出版社   2004-10-1   16.00元
虎皮猫，你在哪里:笑猫日记6,8.7,662,杨红樱,明天出版社   2007-4   15.00元
柳树下的梦:安徒生童话全集之六,9.3,405,(丹麦)安徒生   叶君健,上海译文出版社   1978年6月   0.43元
塔顶上的猫:笑猫日记2,8.5,587,杨红樱,明天出版社   2006-5   15.00元
小猫出生在秘密山洞:笑猫日记8,8.7,748,杨红樱,明天出版社   2008-4   15.00元
愿望潘趣酒:双桅船经典童书,8.7,72,（德）恩德   王佩莉,少年儿童   2005-7   13.80元
彼得·潘,9.0,113,James Matthew Barrie、詹姆斯·巴里   梁实秋,臺灣商務印書館   民國74年   新台幣拾貳元
阿巴拉岛,8.9,208,（美）克里夫・巴克   马爱农,接力出版社   2005-01   39.00
一百条裙子,8.2,227,（美）埃斯特斯   袁颖,新蕾出版社   2009-2   12.00元
灰姑娘:凯迪克大奖绘本系列,8.5,32,(美)马西娅·布朗 改写 图   彭懿、杨玲玲,贵州人民出版社   2009年06月   26.80元
TheJungleBook,8.2,28,Rudyard Kipling,Wordsworth Editions Ltd   1998-1-5   39.00元
作为神话的童话/作为童话的神话,7.5,16,[美] 杰克·齐普斯   赵霞,少年儿童出版社   2008年12月   30.00
海蒂:阿尔卑斯山的少女,9.2,741,约翰娜·斯比丽,海豚出版社   2006年09月   18.00元
妖精森林,8.1,327,早坂真纪,上海译文出版社   2005-5   10.00元
爱拉与洞熊族:石器时代·爱拉传奇系列,9.0,33,(美)琼·奥尔   张帆,作家出版社   2013-1   33.00元
严文井童话寓言集,9.2,45,严文井,人民文学出版社   1982-5   3.05
吵闹村的孩子,9.4,130,（瑞典）林格伦   李之义,中国少年儿童出版社   2002-05   20.50
兔子坡,8.1,147,罗素   陈诗纮,新蕾   2004-5-1   13.00元
兔子剧团之夜,8.9,181,(日)安房直子 文、(日)味户桂子 图   彭懿,少年儿童出版社   2009年6月   18.00元
尼姆的老鼠:全球儿童文学典藏书系,9.1,44,(美)罗伯特·奥布赖恩   贾淑勤,湖南少年儿童出版社   2008年5月   16.50元
三个强盗,8.5,701,汤米·温格尔   张剑鸣,少年儿童出版社   2006-7   32.80元
爱丽丝梦游仙境,8.6,102,商务,商务印书馆   2005-11   12.0
黑兔和白兔,8.9,363,[美]加思•威廉斯   彭懿,南海出版公司   2008-5   36.80元
TheWizardofOz,8.7,126,L. Frank Baum,North-South Books   1999-01-23   USD 19.95
疯丫头马迪根,9.2,112,（瑞典）林格伦   李之义,中国少年儿童出版社   2002-05   24.50
TheHappyPrinceandOtherTales,9.2,97,Oscar Wilde,Everyman's Library   1995-10-10   USD 15.00
岁月是贼:竹久梦二童画童话,7.8,246,(日)竹久梦二   袁丽,时代文艺出版社   2012-6   28.00元
水仙月四日:宫泽贤治童话文集②,9.0,103,[日] 宫泽贤治   周龙梅,少年儿童出版社   2003-5   17.00元
北风遗忘的手绢:夏洛书屋美绘版,8.0,13,[日] 安房直子   彭懿、周龙梅,上海译文出版社   2016-4-20   45.00元
玛丽阿姨回来了,8.9,118,帕·林·特拉芙斯   任溶溶,明天出版   2005-7   18.5
公主的童话情结,0,10,,玛西娅·格拉德   2011-3   30.00元
紫丁香街的帽子屋,8.9,127,(日)安房直子   汪俊文,少年儿童出版社   2011-4   17.00元
尘封160年的格林童话,7.7,87,格林兄弟、刘焱   刘焱,民族出版社   2004-8-1   25.00
黄瓜国王,7.8,36,(奥地利)克里斯蒂娜·涅斯玲格 著、(奥地利)尤塔·鲍尔 绘   赵燮生,明天出版社   2010年6月   18.00元
皮皮鲁和舒克贝塔,8.9,321,郑渊洁,二十一世纪出版社   2006-1   13.80元
吹口琴的蓝特尔:花木马绘本坊,9.3,25,(美)罗伯特·麦克洛斯基 文 图   崔维燕,二十一世纪出版社   2012-8   36.00元
王尔德童话:我的第一本世界文学名著,8.9,132,（英）奥斯卡·王尔德   王林,２１世纪出版社   2008-09   13.00元
小狐狸买手套,8.6,153,(日)新美南吉   周龙梅、彭懿,贵州人民出版社   2008-06-01   10.00元
杉,8.6,32,李想   上海人民出版社,世纪文睿   2014-2   30.00
月亮，生日快乐,8.5,589,法兰克·艾许   高明美,少年儿童出版社   2006-2   25.80元
